,method,model,n_components,n_neighbors,mse,r2,train,test
0,TfIdf-max_features,Ridge,50,-1,7937825.760687744,0.10766886665806363,balanced,balanced
1,TfIdf-max_features,DT,50,-1,10173796.117576389,-0.14368786789799315,balanced,balanced
2,TfIdf-max_features,Ridge,100,-1,7827095.700117928,0.12011659270070796,balanced,balanced
3,TfIdf-max_features,DT,100,-1,11268749.863602215,-0.26677715539371283,balanced,balanced
4,TfIdf-max_features,Ridge,150,-1,7700508.035970174,0.13434695214945036,balanced,balanced
5,TfIdf-max_features,DT,150,-1,12686284.751149606,-0.4261294202193524,balanced,balanced
6,TfIdf-max_features,Ridge,200,-1,7648266.977036975,0.1402196337539915,balanced,balanced
7,TfIdf-max_features,DT,200,-1,12811432.79780852,-0.44019794498639175,balanced,balanced
8,TfIdf-max_features,Ridge,250,-1,7791928.014905184,0.12406997002958775,balanced,balanced
9,TfIdf-max_features,DT,250,-1,12023084.345210262,-0.3515757089505107,balanced,balanced
10,TfIdf-max_features,Ridge,300,-1,7737701.151043746,0.13016588600782708,balanced,balanced
11,TfIdf-max_features,DT,300,-1,13132374.474137979,-0.4762766217437049,balanced,balanced
12,TfIdf-max_features,Ridge,350,-1,7582778.126696028,0.14758156658141797,balanced,balanced
13,TfIdf-max_features,DT,350,-1,11210127.087666132,-0.26018707271014385,balanced,balanced
14,TfIdf-max_features,Ridge,400,-1,7747517.67354788,0.1290623610734586,balanced,balanced
15,TfIdf-max_features,DT,400,-1,11271855.033668391,-0.2671262232629137,balanced,balanced
16,TfIdf-max_features,Ridge,450,-1,7422602.734469655,0.1655876923881483,balanced,balanced
17,TfIdf-max_features,DT,450,-1,14788278.559352254,-0.6624251734519973,balanced,balanced
18,TfIdf-max_features,Ridge,500,-1,7466652.668918178,0.16063581650738024,balanced,balanced
19,TfIdf-max_features,DT,500,-1,13459540.584608076,-0.5130550186181608,balanced,balanced
20,TfIdf-max_features,Ridge,550,-1,7475856.103250185,0.1596012119146729,balanced,balanced
21,TfIdf-max_features,DT,550,-1,9796822.339321338,-0.10131033922301524,balanced,balanced
22,TfIdf-max_features,Ridge,600,-1,7491413.264814344,0.15785235271460318,balanced,balanced
23,TfIdf-max_features,DT,600,-1,11625358.169019025,-0.30686529828388354,balanced,balanced
24,TfIdf-max_features,Ridge,650,-1,7667562.180795417,0.13805056232852575,balanced,balanced
25,TfIdf-max_features,DT,650,-1,10569861.782044433,-0.188211612045027,balanced,balanced
26,TfIdf-max_features,Ridge,700,-1,7709745.843348828,0.13330848350875357,balanced,balanced
27,TfIdf-max_features,DT,700,-1,17971115.122773156,-1.0202239263479602,balanced,balanced
28,TfIdf-max_features,Ridge,750,-1,7703943.027315877,0.1339608074023948,balanced,balanced
29,TfIdf-max_features,DT,750,-1,12182079.005851382,-0.36944910274908116,balanced,balanced
30,TfIdf-max_features,Ridge,800,-1,7728479.740442433,0.1312025114038684,balanced,balanced
31,TfIdf-max_features,DT,800,-1,12838659.723226422,-0.44325866135231373,balanced,balanced
32,TfIdf-max_features,Ridge,850,-1,7899549.37167648,0.11197170910086607,balanced,balanced
33,TfIdf-max_features,DT,850,-1,13694054.584710954,-0.5394179232478817,balanced,balanced
34,TfIdf-max_features,Ridge,900,-1,7956990.992886152,0.10551440599289474,balanced,balanced
35,TfIdf-max_features,DT,900,-1,11773257.219092904,-0.3234913783908857,balanced,balanced
36,TfIdf-max_features,Ridge,950,-1,7980643.26180435,0.10285553484024113,balanced,balanced
37,TfIdf-max_features,DT,950,-1,11520792.91577971,-0.29511058940713686,balanced,balanced
38,TfIdf-max_features,Ridge,1000,-1,7999002.540242399,0.1007916755127789,balanced,balanced
39,TfIdf-max_features,DT,1000,-1,13776896.269519497,-0.5487305759467183,balanced,balanced
40,TfIdf-max_features,Ridge,1050,-1,8029674.930795986,0.09734363698810644,balanced,balanced
41,TfIdf-max_features,DT,1050,-1,8328817.19918501,0.06371554191148587,balanced,balanced
42,TfIdf-max_features,Ridge,1100,-1,8047491.927755339,0.09534073826384526,balanced,balanced
43,TfIdf-max_features,DT,1100,-1,10947451.489521563,-0.23065838043845743,balanced,balanced
44,TfIdf-max_features,Ridge,1150,-1,8028671.067948695,0.09745648628705161,balanced,balanced
45,TfIdf-max_features,DT,1150,-1,11517738.72726183,-0.294767252631581,balanced,balanced
46,TfIdf-max_features,Ridge,1200,-1,7966829.940523527,0.10440836013590049,balanced,balanced
47,TfIdf-max_features,DT,1200,-1,14362195.541167106,-0.614527026783436,balanced,balanced
48,TfIdf-max_features,Ridge,1250,-1,8004367.970645397,0.1001885203495495,balanced,balanced
49,TfIdf-max_features,DT,1250,-1,11360482.987048011,-0.2770893396715257,balanced,balanced
50,TfIdf-max_features,Ridge,1300,-1,8037326.997041733,0.09648342952685285,balanced,balanced
51,TfIdf-max_features,DT,1300,-1,11335412.647275157,-0.2742710560032735,balanced,balanced
52,TfIdf-max_features,Ridge,1350,-1,8097295.30837526,0.08974208840522413,balanced,balanced
53,TfIdf-max_features,DT,1350,-1,13215904.989428373,-0.48566670936024825,balanced,balanced
